title,rating,completion_time,modules_number
Google Data Analytics Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Google Cybersecurity Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Google Project Management: Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
Google Digital Marketing & E-commerce Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
Google IT Support Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
Google UX Design Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
Machine Learning Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Google AI Essentials,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
IBM Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
IBM Data Science Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,12 course series
Deep Learning Specialization,4.9,Get in-depth knowledge of a subject,5 course series
IBM Generative AI Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,16 course series
IBM AI Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,10 course series
AI For Everyone,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
AI in Healthcare Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Data Science Foundations Specialization,4.7,Get in-depth knowledge of a subject,8 course series
Google Prompting Essentials,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
IBM Full Stack Software Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,15 course series
IBM DevOps and Software Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,15 course series
Microsoft Power BI Data Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,8 course series
IBM AI Product Manager Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,10 course series
Foundations of Project Management,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Google Advanced Data Analytics Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
Data Science Fundamentals with Python and SQL Specialization,4.6,Get in-depth knowledge of a subject,5 course series
"Foundations: Data, Data, Everywhere",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
IBM Back-End Development Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
IBM Data Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,16 course series
IBM Data Analytics with Excel and R Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
Supervised Machine Learning: Regression and Classification ,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
IBM Relational Database Administrator Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
Data Analysis and Visualization Foundations Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Business Foundations Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Applied Software Engineering Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Applied Data Science Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Introduction to Data Science Specialization,4.7,Get in-depth knowledge of a subject,4 course series
IBM & Darden Digital Strategy Specialization,4.8,Get in-depth knowledge of a subject,6 course series
AI For Business Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Google IT Automation with Python Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
Data Engineering Foundations Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Key Technologies for Business Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Foundations of Cybersecurity,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
AI Foundations for Everyone Specialization,4.7,Get in-depth knowledge of a subject,4 course series
IBM AI Foundations for Business Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Foundations of Digital Marketing and E-commerce,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Meta Front-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
