,title,rating,completion_time,modules_number
0,Google Data Analytics Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
1,Google Cybersecurity Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
2,Google Project Management: Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
3,Google Digital Marketing & E-commerce Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
4,Google IT Support Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
5,Google UX Design Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
6,Machine Learning Specialization,4.9,Get in-depth knowledge of a subject,3 course series
7,Google AI Essentials,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
8,IBM Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
9,IBM Data Science Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,12 course series
10,Deep Learning Specialization,4.9,Get in-depth knowledge of a subject,5 course series
11,IBM Generative AI Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,16 course series
12,IBM AI Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,10 course series
13,AI For Everyone,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
14,AI in Healthcare Specialization,4.7,Get in-depth knowledge of a subject,5 course series
15,Data Science Foundations Specialization,4.7,Get in-depth knowledge of a subject,8 course series
16,Google Prompting Essentials,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
17,IBM Full Stack Software Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,15 course series
18,IBM DevOps and Software Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,15 course series
19,Microsoft Power BI Data Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,8 course series
20,IBM AI Product Manager Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,10 course series
21,Foundations of Project Management,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
22,Google Advanced Data Analytics Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
23,Data Science Fundamentals with Python and SQL Specialization,4.6,Get in-depth knowledge of a subject,5 course series
24,"Foundations: Data, Data, Everywhere",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
25,IBM Back-End Development Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
26,IBM Data Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,16 course series
27,IBM Data Analytics with Excel and R Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
28,Supervised Machine Learning: Regression and Classification ,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
29,IBM Relational Database Administrator Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
30,Data Analysis and Visualization Foundations Specialization,4.8,Get in-depth knowledge of a subject,4 course series
31,Business Foundations Specialization,4.7,Get in-depth knowledge of a subject,6 course series
32,Applied Software Engineering Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
33,Applied Data Science Specialization,4.7,Get in-depth knowledge of a subject,5 course series
34,Introduction to Data Science Specialization,4.7,Get in-depth knowledge of a subject,4 course series
35,IBM & Darden Digital Strategy Specialization,4.8,Get in-depth knowledge of a subject,6 course series
36,AI For Business Specialization,4.7,Get in-depth knowledge of a subject,4 course series
37,Google IT Automation with Python Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
38,Data Engineering Foundations Specialization,4.7,Get in-depth knowledge of a subject,5 course series
39,Key Technologies for Business Specialization,4.8,Get in-depth knowledge of a subject,3 course series
40,Foundations of Cybersecurity,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
41,AI Foundations for Everyone Specialization,4.7,Get in-depth knowledge of a subject,4 course series
42,IBM AI Foundations for Business Specialization,4.7,Get in-depth knowledge of a subject,3 course series
43,Foundations of Digital Marketing and E-commerce,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
44,Meta Front-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
45,Introduction to Finance and Accounting Specialization,4.4,Get in-depth knowledge of a subject,4 course series
46,IBM Data Management Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,12 course series
47,Introduction to Generative AI Learning Path Specialization,4.6,Get in-depth knowledge of a subject,4 course series
48,Python for Everybody Specialization,4.8,Get in-depth knowledge of a subject,5 course series
49,Generative AI for Everyone,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
50,Meta Social Media Marketing Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
51,Finance & Quantitative Modeling for Analysts Specialization,4.5,Get in-depth knowledge of a subject,4 course series
52,Technical Support Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
53,IBM Business Intelligence (BI) Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,10 course series
54,IBM Business Analyst Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
55,Intuit Academy Bookkeeping Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
56,IBM AI Engineering Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,13 course series
57,IBM Full-Stack JavaScript Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
58,Mathematics for Machine Learning and Data Science Specialization,4.6,Get in-depth knowledge of a subject,3 course series
59,IBM IT Project Manager Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,11 course series
60,Generative AI with Large Language Models,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
61,IBM Back-end JavaScript Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
